season,team,league_rank,made_playoffs,rounds_won,won_cup
20172018,NSH,1,1,1,0
20172018,WPG,2,1,2,0
20172018,TBL,3,1,2,0
20172018,BOS,4,1,1,0
20172018,VGK,5,1,3,0
20172018,WSH,7,1,4,1
20172018,TOR,6,1,0,0
20172018,MIN,8,1,0,0
20172018,ANA,9,1,0,0
20172018,PIT,10,1,1,0
20172018,SJS,11,1,1,0
20172018,LAK,12,1,0,0
20172018,PHI,13,1,0,0
20172018,CBJ,14,1,0,0
20172018,NJD,15,1,0,0
20172018,FLA,16,0,0,0
20172018,COL,17,1,0,0
20172018,STL,18,0,0,0
20172018,DAL,19,0,0,0
20172018,CGY,20,0,0,0
20172018,CAR,21,0,0,0
20172018,NYI,22,0,0,0
20172018,EDM,23,0,0,0
20172018,NYR,24,0,0,0
20172018,CHI,25,0,0,0
20172018,VAN,26,0,0,0
20172018,DET,27,0,0,0
20172018,MTL,28,0,0,0
20172018,ARI,29,0,0,0
20172018,OTT,30,0,0,0
20172018,BUF,31,0,0,0
20182019,TBL,1,1,0,0
20182019,CGY,2,1,0,0
20182019,BOS,3,1,3,0
20182019,WSH,4,1,0,0
20182019,NYI,5,1,1,0
20182019,SJS,6,1,2,0
20182019,TOR,8,1,0,0
20182019,NSH,7,1,0,0
20182019,PIT,9,1,0,0
20182019,WPG,10,1,0,0
20182019,CAR,11,1,2,0
20182019,STL,12,1,4,1
20182019,CBJ,13,1,1,0
20182019,MTL,14,0,0,0
20182019,DAL,16,1,1,0
20182019,VGK,15,1,0,0
20182019,COL,17,1,1,0
20182019,ARI,18,0,0,0
20182019,FLA,19,0,0,0
20182019,CHI,20,0,0,0
20182019,MIN,21,0,0,0
20182019,PHI,22,0,0,0
20182019,VAN,23,0,0,0
20182019,ANA,24,0,0,0
20182019,EDM,25,0,0,0
20182019,NYR,26,0,0,0
20182019,BUF,27,0,0,0
20182019,DET,28,0,0,0
20182019,NJD,29,0,0,0
20182019,LAK,30,0,0,0
20182019,OTT,31,0,0,0
20192020,BOS,1,1,1,0
20192020,STL,2,1,0,0
20192020,COL,4,1,1,0
20192020,TBL,3,1,4,1
20192020,WSH,5,1,0,0
20192020,PHI,6,1,1,0
20192020,PIT,7,0,0,0
20192020,VGK,8,1,2,0
20192020,CAR,11,1,0,0
20192020,DAL,10,1,3,0
20192020,NYI,15,1,2,0
20192020,EDM,9,0,0,0
20192020,TOR,12,0,0,0
20192020,CBJ,13,1,0,0
20192020,FLA,19,0,0,0
20192020,NSH,20,0,0,0
20192020,VAN,18,1,1,0
20192020,NYR,16,0,0,0
20192020,CGY,17,1,0,0
20192020,WPG,14,0,0,0
20192020,MIN,21,0,0,0
20192020,ARI,22,1,0,0
20192020,CHI,23,1,0,0
20192020,MTL,24,1,0,0
20192020,BUF,25,0,0,0
20192020,NJD,26,0,0,0
20192020,ANA,27,0,0,0
20192020,LAK,28,0,0,0
20192020,SJS,29,0,0,0
20192020,OTT,30,0,0,0
20192020,DET,31,0,0,0
20202021,COL,2,1,1,0
20202021,VGK,1,1,2,0
20202021,CAR,3,1,1,0
20202021,FLA,4,1,0,0
20202021,PIT,5,1,0,0
20202021,TOR,7,1,0,0
20202021,WSH,6,1,0,0
20202021,TBL,8,1,4,1
20202021,MIN,9,1,0,0
20202021,BOS,10,1,1,0
20202021,EDM,11,1,0,0
20202021,NYI,12,1,2,0
20202021,NSH,13,1,0,0
20202021,WPG,14,1,1,0
20202021,STL,15,1,0,0
20202021,NYR,16,0,0,0
20202021,DAL,17,0,0,0
20202021,MTL,18,1,3,0
20202021,PHI,19,0,0,0
20202021,CGY,20,0,0,0
20202021,CHI,21,0,0,0
20202021,ARI,22,0,0,0
20202021,OTT,23,0,0,0
